protein_1	A1URA3
protein_2	C7M0M0
protein_3	A0M6J7
protein_4	P26180
protein_5	Q6LZI3
protein_6	P47516
protein_7	P72740
protein_8	Q1AWI8
protein_9	A0A2G6KUH3
protein_10	Q9Y927
protein_11	Q7MAE2
protein_12	Q1LPW1
protein_13	Q1LI41
protein_14	Q1LS73
protein_15	Q59156
protein_16	Q5ZRX0
protein_17	Q6F216
protein_18	Q821V5
protein_19	Q24WW7
protein_20	Q2RL78
protein_21	Q3A2F5
protein_22	Q47YI0
protein_23	Q5FF10
protein_24	A1KCL7
protein_25	A2BQZ1
protein_26	A4QEG6
protein_27	A5FEP6
protein_28	A5WBX3
protein_29	Q0AK91
protein_30	Q13VN0
protein_31	Q1LPG5
protein_32	Q2GJY5
protein_33	B7K379
protein_34	B9DRV0
protein_35	C3L496
protein_36	O51776
protein_37	P31060
protein_38	B9DZK4
protein_39	C3PGQ7
protein_40	O51777
protein_41	P57386
protein_42	Q18AN9
protein_43	Q1WTM0
protein_44	Q2NJF5
protein_45	Q31H85
protein_46	Q3Z9B3
protein_47	A4XIB6
protein_48	Q04F27
protein_49	Q2G203
protein_50	A0L5T9
protein_51	P61975
protein_52	Q98PE4
protein_53	B2S1Z2
protein_54	Q5NL05
protein_55	A2BZB9
protein_56	B0SHT2
protein_57	Q14GB1
protein_58	Q1LSQ2
protein_59	Q2IIL0
protein_60	Q2SJZ6
protein_61	Q3A7K8
protein_62	P0C0R7
protein_63	Q838D6
protein_64	P32081
protein_65	A5IW27
protein_66	O85291
protein_67	P9WQ63
protein_68	Q0P9Y2
protein_69	P07363
protein_70	P31678
protein_71	A0L516
protein_72	A6VUA4
protein_73	P0A8I3
protein_74	P80870
protein_75	Q9ZAB0
protein_76	A7GT10
protein_77	E1V931
protein_78	P9WKK6
protein_79	Q2FZE3
protein_80	Q8YDK9
protein_81	P74007
protein_82	Q88WP5
protein_83	B0TBY2
protein_84	Q67SI3
protein_85	A0AK41
protein_86	C4K4I4
protein_87	Q1LLP5
protein_88	Q1LP27
protein_89	Q1LPR2
protein_90	Q2SCH0
protein_91	P24554
protein_92	O85467
protein_93	P07788
protein_94	P08874
protein_95	Q7AKN0
protein_96	Q8XIU9
protein_97	Q9S220
protein_98	O32219
protein_99	P56976
protein_100	O69054
protein_101	A1AV29
protein_102	A1WZ64
protein_103	A4J4E3
protein_104	A5EXK6
protein_105	A5VHK1
protein_106	Q2NS15
protein_107	Q30YP7
protein_108	Q3BZS9
protein_109	Q4FNA8
protein_110	Q5PB81
protein_111	Q2NJ30
protein_112	Q7MBC1
protein_113	A5D2M7
protein_114	Q0SR42
protein_115	Q20EV4
protein_116	A1VZE7
protein_117	A4F870
protein_118	A5CZ68
protein_119	A5N2U5
protein_120	A6VQA4
protein_121	A5USV2
protein_122	A6VAM7
protein_123	A8HV31
protein_124	A9KL10
protein_125	B0SWX9
protein_126	Q1CY86
protein_127	Q6A5N5
protein_128	A4WHH5
protein_129	Q02CB5
protein_130	P32689
protein_131	B5RL78
protein_132	Q2GE60
protein_133	Q73IE4
protein_134	P64508
protein_135	A2C038
protein_136	A1AIK9
protein_137	P0A7G2
protein_138	P77218
protein_139	A6LSV5
protein_140	B5Y8Q8
protein_141	B2A3Q4
protein_142	D2NQQ7
protein_143	Q4L3G8
protein_144	A8EXC3
protein_145	Q252Y3
protein_146	B7GRM7
protein_147	Q4L4I8
protein_148	Q8KDG0
protein_149	A2C585
protein_150	A7I444
protein_151	P64180
protein_152	B9KGL7
protein_153	Q7NAK6
protein_154	A4VPQ6
protein_155	B2I6F7
protein_156	Q47Q90
protein_157	Q5HXU1
protein_158	Q65J41
protein_159	Q6LUP5
protein_160	Q7NWC1
protein_161	B4SQB1
protein_162	Q67N94
protein_163	B2XTF7
protein_164	D5D8E3
protein_165	Q6KHA4
protein_166	A1BED8
protein_167	A1W0P8
protein_168	A4J510
protein_169	A5VA37
protein_170	A0AIS6
protein_171	A8EV23
protein_172	B2RGR5
protein_173	P0A0P3
protein_174	Q481H3
protein_175	O34375
protein_176	B9KGY6
protein_177	Q9Z7T5
protein_178	A0LIN8
protein_179	Q3AU83
protein_180	Q4FPL3
protein_181	Q5NFN4
protein_182	Q6MFA5
protein_183	O87331
protein_184	A0A143B7Y6
protein_185	B6YRF7
protein_186	A6UF66
protein_187	C6BUE7
protein_188	A1AT11
protein_189	C5J6A7
protein_190	Q7U4L8
protein_191	Q8P8C7
protein_192	Q98PV4
protein_193	Q113S1
protein_194	P47272
protein_195	A1TZE0
protein_196	C6VKW6
protein_197	Q1RGP0
protein_198	A0LEF5
protein_199	C1A4H0
protein_200	O34859
protein_201	P0AEK0
protein_202	P49421
protein_203	P74391
protein_204	Q1D921
protein_205	Q254B4
protein_206	Q2RT47
protein_207	Q3A9N3
protein_208	Q487H6
protein_209	Q0BTG0
protein_210	Q187T6
protein_211	Q1QXD7
protein_212	Q2LR71
protein_213	Q2Y867
protein_214	A0A2E9SN87
protein_215	A0A2N2GEY1
protein_216	A0A2W4MCD0
protein_217	Q3AUA2
protein_218	Q4A6N7
protein_219	Q5NPR4
protein_220	Q67S99
protein_221	Q6MGX6
protein_222	A0Q7B3
protein_223	B2UUA1
protein_224	Q2YC65
protein_225	Q899D2
protein_226	A1KM65
protein_227	B8ETE4
protein_228	B9JC76
protein_229	C1D7L6
protein_230	O25943
protein_231	P56883
protein_232	Q52894
protein_233	A1USH6
protein_234	A9NFN6
protein_235	B7GKC6
protein_236	D8MUB2
protein_237	Q2LXU8
protein_238	A0RPW8
protein_239	A8F851
protein_240	Q182F1
protein_241	P40866
protein_242	Q45060
protein_243	A7GBI7
protein_244	P54598
protein_245	P29945
protein_246	A7Z368
